token,interval,split,strategy,fast,slow,gross_pnl,total_fees,net_pnl,equity_final,total_return,win_rate,profit_factor,trades,best_trade,worst_trade,median_trade,avg_win,avg_loss,expectancy,exposure,avg_holding,median_holding,max_win_streak,max_loss_streak,cagr,volatility,sharpe,sortino,max_drawdown,calmar,monthly_returns
RELIANCE,5minute,ALL,EMA_CROSS,8,20,-787378.5473533096,207220.33,-994598.8773533095,5401.122646691554,-99.45988773533085,5.3984575835475574,0.03607605105384498,1945,4217.8385000001745,-5520.677799999926,-195.11399999999853,354.51522238098045,-560.773356360496,-511.3618906700821,29.357041672833372,35.69408740359897,10.0,3,129,-87.07702686992992,9.774158602906965,-14.329244022240067,-1.0244134434558823,-99.45988773533085,-0.8754989458830628,"{Timestamp('2023-01-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2023-02-28 00:00:00+0530', tz='UTC+05:30'): -12.177412415613965, Timestamp('2023-03-31 00:00:00+0530', tz='UTC+05:30'): -12.480216955671231, Timestamp('2023-04-30 00:00:00+0530', tz='UTC+05:30'): -12.959511360717402, Timestamp('2023-05-31 00:00:00+0530', tz='UTC+05:30'): -13.433165891685995, Timestamp('2023-06-30 00:00:00+0530', tz='UTC+05:30'): -17.876687804037605, Timestamp('2023-07-31 00:00:00+0530', tz='UTC+05:30'): -16.069545730306658, Timestamp('2023-08-31 00:00:00+0530', tz='UTC+05:30'): -14.658145836616809, Timestamp('2023-09-30 00:00:00+0530', tz='UTC+05:30'): -13.1484589521752, Timestamp('2023-10-31 00:00:00+0530', tz='UTC+05:30'): -14.379681681138734, Timestamp('2023-11-30 00:00:00+0530', tz='UTC+05:30'): -13.384801433577199, Timestamp('2023-12-31 00:00:00+0530', tz='UTC+05:30'): -13.695155882723153, Timestamp('2024-01-31 00:00:00+0530', tz='UTC+05:30'): -18.28571458472291, Timestamp('2024-02-29 00:00:00+0530', tz='UTC+05:30'): -23.469019036885584, Timestamp('2024-03-31 00:00:00+0530', tz='UTC+05:30'): -14.421863819204628, Timestamp('2024-04-30 00:00:00+0530', tz='UTC+05:30'): -12.256804471606896, Timestamp('2024-05-31 00:00:00+0530', tz='UTC+05:30'): -14.25772281272798, Timestamp('2024-06-30 00:00:00+0530', tz='UTC+05:30'): -14.240150336689606, Timestamp('2024-07-31 00:00:00+0530', tz='UTC+05:30'): -20.47706414277912, Timestamp('2024-08-31 00:00:00+0530', tz='UTC+05:30'): -19.419328073923825, Timestamp('2024-09-30 00:00:00+0530', tz='UTC+05:30'): -17.373355131941626, Timestamp('2024-10-31 00:00:00+0530', tz='UTC+05:30'): -16.817763259902375, Timestamp('2024-11-30 00:00:00+0530', tz='UTC+05:30'): -13.843275304297109, Timestamp('2024-12-31 00:00:00+0530', tz='UTC+05:30'): -13.688968224401288, Timestamp('2025-01-31 00:00:00+0530', tz='UTC+05:30'): -18.559323419013097, Timestamp('2025-02-28 00:00:00+0530', tz='UTC+05:30'): -18.07433641754834, Timestamp('2025-03-31 00:00:00+0530', tz='UTC+05:30'): -15.478862273120741, Timestamp('2025-04-30 00:00:00+0530', tz='UTC+05:30'): -18.59309000677145, Timestamp('2025-05-31 00:00:00+0530', tz='UTC+05:30'): -18.658870736734457, Timestamp('2025-06-30 00:00:00+0530', tz='UTC+05:30'): -15.55631968679564, Timestamp('2025-07-31 00:00:00+0530', tz='UTC+05:30'): -8.53406871134117}"
RELIANCE,5minute,TRAIN,EMA_CROSS,8,20,-773089.3069033104,199200.05,-972289.3569033104,27710.64309669074,-97.22893569033091,5.621301775147929,0.03613858146363717,1352,4217.8385000001745,-5520.677799999926,-446.10287499997725,479.6654572368804,-790.551670574697,-719.1489326207918,28.220617996194157,34.55251479289941,10.0,3,129,-86.54425913606246,9.634747939257013,-14.239688270787752,-1.0098830834333845,-97.22893569033091,-0.8901080580754418,"{Timestamp('2023-01-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2023-02-28 00:00:00+0530', tz='UTC+05:30'): -12.177412415613965, Timestamp('2023-03-31 00:00:00+0530', tz='UTC+05:30'): -12.480216955671231, Timestamp('2023-04-30 00:00:00+0530', tz='UTC+05:30'): -12.959511360717402, Timestamp('2023-05-31 00:00:00+0530', tz='UTC+05:30'): -13.433165891685995, Timestamp('2023-06-30 00:00:00+0530', tz='UTC+05:30'): -17.876687804037605, Timestamp('2023-07-31 00:00:00+0530', tz='UTC+05:30'): -16.069545730306658, Timestamp('2023-08-31 00:00:00+0530', tz='UTC+05:30'): -14.658145836616809, Timestamp('2023-09-30 00:00:00+0530', tz='UTC+05:30'): -13.1484589521752, Timestamp('2023-10-31 00:00:00+0530', tz='UTC+05:30'): -14.379681681138734, Timestamp('2023-11-30 00:00:00+0530', tz='UTC+05:30'): -13.384801433577199, Timestamp('2023-12-31 00:00:00+0530', tz='UTC+05:30'): -13.695155882723153, Timestamp('2024-01-31 00:00:00+0530', tz='UTC+05:30'): -18.28571458472291, Timestamp('2024-02-29 00:00:00+0530', tz='UTC+05:30'): -23.469019036885584, Timestamp('2024-03-31 00:00:00+0530', tz='UTC+05:30'): -14.421863819204628, Timestamp('2024-04-30 00:00:00+0530', tz='UTC+05:30'): -12.256804471606896, Timestamp('2024-05-31 00:00:00+0530', tz='UTC+05:30'): -14.25772281272798, Timestamp('2024-06-30 00:00:00+0530', tz='UTC+05:30'): -14.240150336689606, Timestamp('2024-07-31 00:00:00+0530', tz='UTC+05:30'): -20.47706414277912, Timestamp('2024-08-31 00:00:00+0530', tz='UTC+05:30'): -19.419328073923825, Timestamp('2024-09-30 00:00:00+0530', tz='UTC+05:30'): -17.373355131941626, Timestamp('2024-10-31 00:00:00+0530', tz='UTC+05:30'): -8.467925549585221}"
RELIANCE,5minute,TEST,EMA_CROSS,8,20,-606928.9935999645,141782.54,-748711.5335999646,251288.46640003656,-74.87115335999634,9.30626057529611,0.0685653670039551,591,10110.27210000016,-7767.682999999806,-1092.6160999998658,1002.084297272784,-1499.6756902051636,-1266.8553868019706,46.59619450317125,55.93908629441624,10.0,2,42,-83.7101397015593,9.189072519442668,-13.442843625714556,-0.9775020911837488,-74.87115335999634,-1.1180559660816662,"{Timestamp('2024-10-31 00:00:00+0530', tz='UTC+05:30'): 0.0, Timestamp('2024-11-30 00:00:00+0530', tz='UTC+05:30'): -11.07905583587926, Timestamp('2024-12-31 00:00:00+0530', tz='UTC+05:30'): -9.757223617318367, Timestamp('2025-01-31 00:00:00+0530', tz='UTC+05:30'): -15.684104108824027, Timestamp('2025-02-28 00:00:00+0530', tz='UTC+05:30'): -15.377432134802337, Timestamp('2025-03-31 00:00:00+0530', tz='UTC+05:30'): -13.238283084989133, Timestamp('2025-04-30 00:00:00+0530', tz='UTC+05:30'): -16.74794753440275, Timestamp('2025-05-31 00:00:00+0530', tz='UTC+05:30'): -16.490698747137976, Timestamp('2025-06-30 00:00:00+0530', tz='UTC+05:30'): -14.726722772984058, Timestamp('2025-07-31 00:00:00+0530', tz='UTC+05:30'): -7.761338210385338}"
