direction,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,pnl,gross_pnl,fee_buy,fee_sell,total_fee
SHORT,2023-01-02 10:21:00+05:30,1219.42935,820,2023-01-02 10:23:00+05:30,1221.7205,CROSS_UP,-2278.502999999827,-1878.7429999998267,89.95,309.81,399.76
LONG,2023-01-02 10:45:00+05:30,1225.6244,814,2023-01-02 10:47:00+05:30,1221.4773,CROSS_DOWN,-3773.5993999999264,-3375.7393999999263,89.67,308.19,397.86
SHORT,2023-01-02 11:22:00+05:30,1220.2785,814,2023-01-02 11:24:00+05:30,1222.5212999999999,CROSS_UP,-2223.0491999999904,-1825.6391999999905,89.5,307.91,397.41
LONG,2023-01-02 12:12:00+05:30,1222.4212,811,2023-01-02 12:14:00+05:30,1220.32845,CROSS_DOWN,-2093.350250000019,-1697.2202500000192,89.26,306.87,396.13
SHORT,2023-01-02 13:04:00+05:30,1220.2785,810,2023-01-02 13:06:00+05:30,1222.5212999999999,CROSS_UP,-2212.3579999999906,-1816.6679999999906,89.18,306.51,395.69
LONG,2023-01-02 13:24:00+05:30,1223.6224,806,2023-01-02 13:26:00+05:30,1221.92685,CROSS_DOWN,-1761.023299999929,-1366.613299999929,88.91,305.5,394.40999999999997
SHORT,2023-01-02 13:52:00+05:30,1220.1286499999999,807,2023-01-02 13:54:00+05:30,1222.6214,CROSS_UP,-2406.0192500000926,-2011.6492500000925,88.94,305.43,394.37
LONG,2023-01-02 14:51:00+05:30,1224.6234,802,2023-01-02 14:53:00+05:30,1221.6771,CROSS_DOWN,-2755.6125999998694,-2362.9325999998696,88.64,304.04,392.68
SHORT,2023-01-03 09:23:00+05:30,1219.779,803,2023-01-03 09:25:00+05:30,1220.6694499999999,CROSS_UP,-1107.4913499998984,-715.0313499998983,88.51,303.95,392.46
LONG,2023-01-03 10:00:00+05:30,1225.1239,799,2023-01-03 10:02:00+05:30,1222.9758,CROSS_DOWN,-2108.0519000000904,-1716.3319000000904,88.43,303.29,391.72
SHORT,2023-01-03 10:34:00+05:30,1222.9758,799,2023-01-03 10:36:00+05:30,1225.2740499999998,CROSS_UP,-2228.0217499998607,-1836.3017499998605,88.43,303.29,391.72
LONG,2023-01-03 10:57:00+05:30,1226.0748499999997,795,2023-01-03 10:59:00+05:30,1223.4753,CROSS_DOWN,-2456.792249999746,-2066.642249999746,88.15,302.0,390.15
SHORT,2023-01-03 11:22:00+05:30,1220.9778000000001,796,2023-01-03 11:24:00+05:30,1222.7214999999999,CROSS_UP,-1777.8251999998108,-1387.985199999811,88.06,301.78,389.84
LONG,2023-01-03 13:05:00+05:30,1217.0158,797,2023-01-03 13:07:00+05:30,1214.53425,CROSS_DOWN,-2366.295349999976,-1977.7953499999762,87.84,300.66,388.5
SHORT,2023-01-03 13:26:00+05:30,1214.43435,797,2023-01-03 13:28:00+05:30,1216.86565,CROSS_UP,-2326.216099999972,-1937.7460999999719,87.83,300.64,388.46999999999997
LONG,2023-01-03 13:30:00+05:30,1218.8175999999999,792,2023-01-03 13:32:00+05:30,1215.9828,CROSS_DOWN,-2631.9415999998882,-2245.1615999998885,87.53,299.25,386.78
SHORT,2023-01-03 14:18:00+05:30,1215.1836,792,2023-01-03 14:20:00+05:30,1217.86665,CROSS_UP,-2511.5255999998944,-2124.9755999998943,87.48,299.07,386.55
LONG,2023-01-03 14:32:00+05:30,1218.9177,788,2023-01-03 14:34:00+05:30,1216.0827,CROSS_DOWN,-2619.070000000029,-2233.9800000000287,87.21,297.88,385.09
SHORT,2023-01-04 09:22:00+05:30,1214.5842,789,2023-01-04 09:24:00+05:30,1217.7164999999998,CROSS_UP,-2856.50469999981,-2471.38469999981,87.23,297.89,385.12
LONG,2023-01-04 10:31:00+05:30,1210.5092999999997,789,2023-01-04 10:33:00+05:30,1208.3904,CROSS_DOWN,-2055.152099999773,-1671.812099999773,86.85,296.49,383.34000000000003
SHORT,2023-01-04 11:51:00+05:30,1206.0927,790,2023-01-04 11:53:00+05:30,1208.85765,CROSS_UP,-2567.480499999999,-2184.310499999999,86.85,296.32,383.16999999999996
LONG,2023-01-04 13:02:00+05:30,1205.3040999999998,788,2023-01-04 13:04:00+05:30,1203.6951000000001,CROSS_DOWN,-1649.4819999997605,-1267.8919999997606,86.5,295.09,381.59
SHORT,2023-01-04 13:10:00+05:30,1202.2965,789,2023-01-04 13:12:00+05:30,1205.1039,CROSS_UP,-2596.728600000113,-2215.038600000113,86.57,295.12,381.69
LONG,2023-01-04 13:51:00+05:30,1204.9036999999998,785,2023-01-04 13:53:00+05:30,1204.04475,CROSS_DOWN,-1054.6457499998605,-674.2757499998606,86.24,294.13,380.37
SHORT,2023-01-04 14:28:00+05:30,1201.34745,787,2023-01-04 14:30:00+05:30,1204.203,CROSS_UP,-2627.897849999995,-2247.317849999995,86.36,294.22,380.58000000000004
LONG,2023-01-05 09:19:00+05:30,1204.15295,783,2023-01-05 09:21:00+05:30,1200.2985,CROSS_DOWN,-3396.674349999855,-3018.0343499998553,86.04,292.6,378.64000000000004
SHORT,2023-01-05 09:59:00+05:30,1202.6461499999998,781,2023-01-05 10:01:00+05:30,1205.3040999999998,CROSS_UP,-2454.2389500000218,-2075.8589500000217,85.94,292.44,378.38
LONG,2023-01-05 10:06:00+05:30,1205.65445,777,2023-01-05 10:08:00+05:30,1202.0967,CROSS_DOWN,-3140.9517499999547,-2764.371749999955,85.64,290.94,376.58
SHORT,2023-01-05 10:40:00+05:30,1201.8969,777,2023-01-05 10:42:00+05:30,1204.75355,CROSS_UP,-2596.107049999957,-2219.617049999957,85.59,290.9,376.49
LONG,2023-01-05 13:57:00+05:30,1198.9477499999998,776,2023-01-05 13:59:00+05:30,1196.75205,CROSS_DOWN,-2078.4931999998144,-1703.8631999998142,85.22,289.41,374.63
SHORT,2023-01-05 14:23:00+05:30,1192.7061,779,2023-01-05 14:25:00+05:30,1195.7945999999997,CROSS_UP,-2780.771499999698,-2405.941499999698,85.29,289.54,374.83000000000004
LONG,2023-01-05 14:48:00+05:30,1198.8977,772,2023-01-05 14:50:00+05:30,1195.2036,CROSS_DOWN,-3224.4451999999496,-2851.8451999999497,84.9,287.7,372.6
SHORT,2023-01-06 10:07:00+05:30,1208.3904,764,2023-01-06 10:09:00+05:30,1210.8095999999998,CROSS_UP,-2220.9787999998616,-1848.2687999998616,84.86,287.85,372.71000000000004
LONG,2023-01-06 10:54:00+05:30,1211.96075,759,2023-01-06 10:56:00+05:30,1208.8899,CROSS_DOWN,-2701.5251500000486,-2330.7751500000486,84.52,286.23,370.75
SHORT,2023-01-06 11:18:00+05:30,1208.2905,760,2023-01-06 11:20:00+05:30,1210.4091999999998,CROSS_UP,-1981.1719999998195,-1610.2119999998195,84.52,286.44,370.96
LONG,2023-01-06 11:28:00+05:30,1209.5082999999997,757,2023-01-06 11:30:00+05:30,1208.24055,CROSS_DOWN,-1329.3167499998112,-959.6867499998114,84.24,285.39,369.63
SHORT,2023-01-06 12:24:00+05:30,1209.789,756,2023-01-06 12:26:00+05:30,1211.4101999999998,CROSS_UP,-1595.2571999998618,-1225.6271999998617,84.25,285.38,369.63
LONG,2023-01-06 13:50:00+05:30,1206.0048,757,2023-01-06 13:52:00+05:30,1203.3953999999999,CROSS_DOWN,-2343.715800000038,-1975.3158000000383,84.06,284.34,368.4
SHORT,2023-01-06 14:20:00+05:30,1202.24655,757,2023-01-06 14:22:00+05:30,1205.8045999999997,CROSS_UP,-3061.5838499997267,-2693.443849999727,84.05,284.09,368.14
LONG,2023-01-06 14:29:00+05:30,1207.5563499999998,751,2023-01-06 14:31:00+05:30,1204.5942,CROSS_DOWN,-2590.764649999878,-2224.574649999878,83.66,282.53,366.18999999999994
SHORT,2023-01-09 12:26:00+05:30,1231.3673999999999,735,2023-01-09 12:28:00+05:30,1234.68345,CROSS_UP,-2803.6467500000967,-2437.296750000097,83.7,282.65,366.34999999999997
LONG,2023-01-09 13:08:00+05:30,1235.8345999999997,730,2023-01-09 13:10:00+05:30,1233.9148500000001,CROSS_DOWN,-1766.187499999684,-1401.417499999684,83.35,281.42,364.77
SHORT,2023-01-09 13:21:00+05:30,1230.3683999999998,732,2023-01-09 13:23:00+05:30,1233.232,CROSS_UP,-2460.9152000000977,-2096.1552000000975,83.38,281.38,364.76
LONG,2023-01-09 14:10:00+05:30,1232.3310999999999,729,2023-01-09 14:12:00+05:30,1229.6691,CROSS_DOWN,-2303.8779999998596,-1940.5979999998594,83.1,280.18,363.28
SHORT,2023-01-10 09:27:00+05:30,1230.01875,728,2023-01-10 09:29:00+05:30,1233.38215,CROSS_UP,-2811.515199999968,-2448.555199999968,83.06,279.9,362.96
LONG,2023-01-10 10:22:00+05:30,1233.4822499999998,724,2023-01-10 10:24:00+05:30,1229.3693999999998,CROSS_DOWN,-3338.8033999999857,-2977.703399999986,82.74,278.36,361.1
SHORT,2023-01-10 10:48:00+05:30,1227.5711999999999,724,2023-01-10 10:50:00+05:30,1229.6784499999999,CROSS_UP,-1886.1990000000158,-1525.6490000000158,82.56,277.99,360.55
LONG,2023-01-10 11:14:00+05:30,1231.7305,721,2023-01-10 11:16:00+05:30,1228.4703,CROSS_DOWN,-2710.1341999999568,-2350.604199999957,82.41,277.12,359.53
SHORT,2023-01-10 11:29:00+05:30,1224.9738,722,2023-01-10 11:31:00+05:30,1226.5753499999998,CROSS_UP,-1515.3190999998997,-1156.3190999998997,82.25,276.75,359.0
LONG,2023-01-10 12:04:00+05:30,1230.4291999999998,718,2023-01-10 12:06:00+05:30,1228.52025,CROSS_DOWN,-1728.80609999984,-1370.6260999998399,82.11,276.07,358.18
SHORT,2023-01-10 12:29:00+05:30,1226.5722,719,2023-01-10 12:31:00+05:30,1229.6284,CROSS_UP,-2555.5777999999927,-2197.4077999999927,82.15,276.02,358.16999999999996
LONG,2023-01-10 13:30:00+05:30,1224.8235999999997,718,2023-01-10 13:32:00+05:30,1220.1786000000002,CROSS_DOWN,-3691.3099999996602,-3335.1099999996604,81.84,274.36,356.20000000000005
SHORT,2023-01-10 13:42:00+05:30,1218.78,718,2023-01-10 13:44:00+05:30,1221.5203,CROSS_UP,-2323.2853999999525,-1967.5353999999525,81.68,274.07,355.75
LONG,2023-01-10 14:14:00+05:30,1222.37115,714,2023-01-10 14:16:00+05:30,1219.4793,CROSS_DOWN,-2419.0008999999836,-2064.7808999999834,81.4,272.82,354.22
SHORT,2023-01-10 14:23:00+05:30,1217.83095,715,2023-01-10 14:25:00+05:30,1220.1189,CROSS_UP,-1990.0842499999355,-1635.8842499999355,81.37,272.83,354.2
LONG,2023-01-10 15:08:00+05:30,1221.0197999999998,711,2023-01-10 15:10:00+05:30,1218.8799,CROSS_DOWN,-1874.2088999999273,-1521.4688999999273,81.09,271.65,352.74
SHORT,2023-01-11 09:21:00+05:30,1213.6851000000001,714,2023-01-11 09:23:00+05:30,1213.2119999999998,CROSS_UP,-14.816599999724417,337.7934000002756,80.97,271.64,352.61
LONG,2023-01-11 10:14:00+05:30,1214.1128999999999,714,2023-01-11 10:16:00+05:30,1211.0877,CROSS_DOWN,-2512.102799999867,-2159.9927999998667,81.01,271.1,352.11
SHORT,2023-01-11 10:50:00+05:30,1208.1906000000001,715,2023-01-11 10:52:00+05:30,1209.1579499999998,CROSS_UP,-1043.3752499997636,-691.6552499997636,80.86,270.86,351.72
LONG,2023-01-11 11:30:00+05:30,1210.8095999999998,713,2023-01-11 11:32:00+05:30,1207.791,CROSS_DOWN,-2503.1117999999133,-2152.2617999999134,80.77,270.08,350.84999999999997
SHORT,2023-01-11 11:43:00+05:30,1205.5932,714,2023-01-11 11:45:00+05:30,1208.8075999999999,CROSS_UP,-2645.8215999998865,-2295.0815999998867,80.76,269.98,350.74
LONG,2023-01-11 12:05:00+05:30,1210.3090999999997,709,2023-01-11 12:07:00+05:30,1209.3893999999998,CROSS_DOWN,-1001.5272999999438,-652.0672999999438,80.43,269.03,349.46
SHORT,2023-01-11 12:40:00+05:30,1206.6921,710,2023-01-11 12:42:00+05:30,1209.25805,CROSS_UP,-2171.1044999999503,-1821.8244999999501,80.46,268.82,349.28
LONG,2023-01-11 13:18:00+05:30,1209.4081999999999,707,2023-01-11 13:20:00+05:30,1207.0917,CROSS_DOWN,-1985.865499999933,-1637.7654999999331,80.23,267.87,348.1
SHORT,2023-01-11 13:54:00+05:30,1206.14265,707,2023-01-11 13:56:00+05:30,1208.1069,CROSS_UP,-1736.5747499999948,-1388.7247499999949,80.17,267.68,347.85
LONG,2023-01-11 14:42:00+05:30,1207.7565499999998,705,2023-01-11 14:44:00+05:30,1204.3944,CROSS_DOWN,-2716.9357499999496,-2370.3157499999497,79.99,266.63,346.62
SHORT,2023-01-11 15:08:00+05:30,1202.54625,705,2023-01-11 15:10:00+05:30,1205.3040999999998,CROSS_UP,-2290.414249999813,-1944.284249999813,79.87,266.26,346.13
LONG,2023-01-12 09:33:00+05:30,1206.5553499999999,701,2023-01-12 09:35:00+05:30,1204.5942,CROSS_DOWN,-1719.676149999903,-1374.7661499999028,79.61,265.3,344.91
SHORT,2023-01-12 09:49:00+05:30,1197.5013000000001,705,2023-01-12 09:51:00+05:30,1199.7985999999999,CROSS_UP,-1964.4564999998047,-1619.5964999998046,79.62,265.24,344.86
LONG,2023-01-12 12:20:00+05:30,1184.8836999999999,711,2023-01-12 12:22:00+05:30,1181.4173999999998,CROSS_DOWN,-2807.959300000033,-2464.539300000033,79.39,264.03,343.41999999999996
SHORT,2023-01-12 12:41:00+05:30,1180.5183,711,2023-01-12 12:43:00+05:30,1182.4813,CROSS_UP,-1738.8129999999755,-1395.6929999999754,79.28,263.84,343.12
LONG,2023-01-12 13:12:00+05:30,1182.2310499999999,709,2023-01-12 13:14:00+05:30,1180.1187,CROSS_DOWN,-1839.856149999914,-1497.6561499999139,79.11,263.09,342.2
SHORT,2023-01-12 13:22:00+05:30,1177.821,710,2023-01-12 13:24:00+05:30,1180.2790999999997,CROSS_UP,-2087.31099999988,-1745.2509999998802,79.1,262.96,342.05999999999995
LONG,2023-01-12 14:13:00+05:30,1178.8777,707,2023-01-12 14:15:00+05:30,1175.7231000000002,CROSS_DOWN,-2570.622199999891,-2230.302199999891,78.8,261.52,340.32
SHORT,2023-01-12 14:44:00+05:30,1174.5243,708,2023-01-12 14:46:00+05:30,1177.5263499999999,CROSS_UP,-2465.881399999877,-2125.451399999877,78.81,261.62,340.43
LONG,2023-01-12 15:10:00+05:30,1178.62745,703,2023-01-12 15:12:00+05:30,1176.5223,CROSS_DOWN,-1818.7304499999063,-1479.9204499999064,78.47,260.34,338.80999999999995
SHORT,2023-01-13 09:18:00+05:30,1167.831,708,2023-01-13 09:20:00+05:30,1170.8697,CROSS_UP,-2490.1596000000445,-2151.3996000000443,78.5,260.26,338.76
LONG,2023-01-13 10:29:00+05:30,1167.4662999999998,706,2023-01-13 10:31:00+05:30,1166.3325,CROSS_DOWN,-1137.9427999998852,-800.4627999998852,78.19,259.29,337.48
SHORT,2023-01-13 11:06:00+05:30,1164.2346,707,2023-01-13 11:08:00+05:30,1165.91475,CROSS_UP,-1525.256049999938,-1187.866049999938,78.19,259.2,337.39
LONG,2023-01-13 11:25:00+05:30,1170.2690999999998,702,2023-01-13 11:27:00+05:30,1167.5313,CROSS_DOWN,-2258.1355999997554,-1921.9355999997556,78.01,258.19,336.2
SHORT,2023-01-13 11:50:00+05:30,1165.0338000000002,704,2023-01-13 11:52:00+05:30,1168.1169499999999,CROSS_UP,-2506.9575999997924,-2170.5375999997923,78.06,258.36,336.42
LONG,2023-01-13 12:11:00+05:30,1169.5183499999998,699,2023-01-13 12:13:00+05:30,1167.1317,CROSS_DOWN,-2003.1183499999424,-1668.2683499999425,77.74,257.11,334.85
SHORT,2023-01-13 14:27:00+05:30,1174.0248000000001,694,2023-01-13 14:29:00+05:30,1176.9758,CROSS_UP,-2382.4939999998574,-2047.9939999998574,77.69,256.81,334.5
LONG,2023-01-13 15:05:00+05:30,1176.32515,691,2023-01-13 15:07:00+05:30,1175.5233,CROSS_DOWN,-887.6083499998833,-554.0783499998834,77.43,256.1,333.53000000000003
LONG,2023-01-13 15:08:00+05:30,1178.2270499999997,689,2023-01-13 15:10:00+05:30,1175.6232,CROSS_DOWN,-2126.8526499998197,-1794.0526499998198,77.36,255.44,332.8
SHORT,2023-01-16 09:41:00+05:30,1173.4253999999999,690,2023-01-16 09:43:00+05:30,1176.175,CROSS_UP,-2229.924000000069,-1897.2240000000693,77.35,255.35,332.7
LONG,2023-01-16 10:40:00+05:30,1173.6725,688,2023-01-16 10:43:00+05:30,1171.7271,CROSS_DOWN,-1669.8551999998872,-1338.4351999998871,77.08,254.34,331.42
SHORT,2023-01-16 10:48:00+05:30,1171.2276000000002,688,2023-01-16 10:50:00+05:30,1173.4723,CROSS_UP,-1875.6635999998202,-1544.3535999998203,77.07,254.24,331.31
LONG,2023-01-16 10:51:00+05:30,1173.12195,685,2023-01-16 10:53:00+05:30,1170.7780500000001,CROSS_DOWN,-1935.5414999998964,-1605.5714999998963,76.82,253.15,329.97
SHORT,2023-01-16 11:02:00+05:30,1170.9279,685,2023-01-16 11:04:00+05:30,1172.8717,CROSS_UP,-1661.493000000007,-1331.503000000007,76.81,253.18,329.99
LONG,2023-01-16 11:41:00+05:30,1173.5724,682,2023-01-16 11:43:00+05:30,1172.826,CROSS_DOWN,-838.194799999996,-509.04479999999603,76.61,252.54,329.15
SHORT,2023-01-16 12:29:00+05:30,1171.4273999999998,683,2023-01-16 12:31:00+05:30,1173.5724,CROSS_UP,-1794.3250000001428,-1465.0350000001429,76.68,252.61,329.29
LONG,2023-01-16 13:34:00+05:30,1170.0689,682,2023-01-16 13:36:00+05:30,1166.6322,CROSS_DOWN,-2671.609399999982,-2343.829399999982,76.45,251.33,327.78000000000003
SHORT,2023-01-16 13:41:00+05:30,1166.832,681,2023-01-16 13:43:00+05:30,1168.6674999999998,CROSS_UP,-1577.3254999997844,-1249.9754999997845,76.31,251.04,327.35
LONG,2023-01-16 15:12:00+05:30,1165.9647999999997,681,2023-01-16 15:14:00+05:30,1164.08475,CROSS_DOWN,-1606.9940499998336,-1280.3140499998335,76.18,250.5,326.68
SHORT,2023-01-17 10:54:00+05:30,1172.1267,676,2023-01-17 10:56:00+05:30,1173.5724,CROSS_UP,-1303.8231999999919,-977.2931999999919,76.14,250.39,326.53
LONG,2023-01-17 11:31:00+05:30,1175.7745999999997,672,2023-01-17 11:33:00+05:30,1173.4753500000002,CROSS_DOWN,-1870.335999999714,-1545.095999999714,75.93,249.31,325.24
SHORT,2023-01-17 12:43:00+05:30,1174.0248000000001,672,2023-01-17 12:45:00+05:30,1176.4752999999998,CROSS_UP,-1972.1159999997935,-1646.7359999997934,75.96,249.42,325.38
LONG,2023-01-17 13:38:00+05:30,1177.8767,668,2023-01-17 13:40:00+05:30,1175.823,CROSS_DOWN,-1696.0015999999569,-1371.8715999999567,75.71,248.42,324.13
SHORT,2023-01-17 14:14:00+05:30,1176.0228,668,2023-01-17 14:16:00+05:30,1178.3772,CROSS_UP,-1896.919199999961,-1572.7391999999609,75.73,248.45,324.18
LONG,2023-01-17 14:25:00+05:30,1178.177,665,2023-01-17 14:27:00+05:30,1175.37345,CROSS_DOWN,-2187.1707499999065,-1864.3607499999064,75.49,247.32,322.81
SHORT,2023-01-18 09:21:00+05:30,1176.2725500000001,664,2023-01-18 09:23:00+05:30,1178.4772999999998,CROSS_UP,-1786.5339999997668,-1463.953999999767,75.42,247.16,322.58
LONG,2023-01-18 10:03:00+05:30,1178.5774,661,2023-01-18 10:05:00+05:30,1175.4234,CROSS_DOWN,-2405.9639999999977,-2084.7939999999976,75.19,245.98,321.16999999999996
